plan_code, plan_name
0,Plan Code not applicable
8,UHP Healthcare
43,Blue Shield of California
54,Contra Costa Health Plan
55,"Kaiser Foundation Health Plan, Inc."
102,Vista Behavioral Health Plan / Magellan Health Services of California
126,Health Plan of America (HPA) / PacifiCare of California / Secure Horizons
142,"Lifeguard, Inc."
151,Inter Valley Health Plan
152,"Cigna HealthCare of California, Inc."
159,Health Plan of the Redwoods
176,"Aetna Health Plans of California, Inc."
196,Managed Health Network
200,Community Health Group
209,Universal Care
212,SCAN Health Plan / Smartcare Health Plan
231,Holman Professional Counseling Centers
236,Santa Clara Valley Medical Center / Valley Health Plan
248,Community Health Plan (County of Los Angeles)
259,"U.S. Behavioral Health Plan, California"
266,UHC Healthcare
278,Chinese Community Health Plan
288,"MBC of California / Merit Behavioral Care of California, Inc. (MBC)"
292,"HAI, Hai-Ca"
293,"ValueOptions of California, Inc. / Value Behavioral Health of California, Inc."
296,AET Health Care Plan Of California
298,Cigna Behavioral Health of California
300,"Health Net of California, Inc."
301,PacifiCare Behavioral Health of California
303,Blue Cross of California
310,Sharp Health Plan
322,American Family Care / Molina Healthcare of California
324,Tower Health Service
325,"One Health Plan of California Inc. / Great West Health Plan, Inc."
326,Care 1st Health Plan
328,Alameda Alliance for Health
335,Kern Health Systems Inc
338,(The) Health Plan of San Joaquin / The Health Plan of San Joaquin
344,Ventura County Health Care Plan
346,Inland Empire Health Plan (IEHP)
348,Western Health Advantage
349,San Francisco Health Plan
351,Santa Clara Family Health Plan
352,Brown and Toland Medical Group
355,LA Care Health Plan
357,"Heritage Provider Network, Inc."
358,Health Plan Of San Mateo
366,"Cedars-Sinai Provider Plan, LLC"
367,"Primecare Medical Network, Inc."
377,"Scripps Clinic Health Plan Services, Inc."
385,On Lok Senior Health Services
390,Medcore HP
393,"Simnsa Health Care / Sistemas Medicos Nacionales, S.A. De C.V."
394,Caloptima (Orange County)
397,Avante Behavioral Health Plan
400,Santa Barbara Regional Health Authority / San Luis Obispo Regional Health Authority
401,Central Coast Alliance For Health (Santa Cruz County/Monterey County)
404,Central Health Plan
408,"Caremore Insurance Services, Inc."
414,Honored Citizens Choice Health Plan
432,AIDS HealthCare Foundation / Positive Healthcare
