msdrg_year,msdrg,msdrg_name
2009,999,UNGROUPABLE
2009,999,UNGROUPABLE
2009,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2009,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2009,9,BONE MARROW TRANSPLANT
2009,10,PANCREAS TRANSPLANT
2009,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2009,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITHOUT CC/MCC"
2009,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH MCC
2009,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH CC
2009,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC
2009,23,"CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITH MCC OR CHEMOIMPLANT"
2009,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITHOUT MCC
2009,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
2009,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
2009,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
2009,28,SPINAL PROCEDURES WITH MCC
2009,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
2009,30,SPINAL PROCEDURES WITHOUT CC/MCC
2009,31,VENTRICULAR SHUNT PROCEDURES WITH MCC
2009,32,VENTRICULAR SHUNT PROCEDURES WITH CC
2009,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
2009,34,CAROTID ARTERY STENT PROCEDURE WITH MCC
2009,35,CAROTID ARTERY STENT PROCEDURE WITH CC
2009,36,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
2009,37,EXTRACRANIAL PROCEDURES WITH MCC
2009,38,EXTRACRANIAL PROCEDURES WITH CC
2009,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
2009,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH MCC
2009,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH CC OR PERIPH NEUROSTIM
2009,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITHOUT CC/MCC
2009,52,SPINAL DISORDERS & INJURIES WITH CC/MCC
2009,53,SPINAL DISORDERS & INJURIES WITHOUT CC/MCC
2009,54,NERVOUS SYSTEM NEOPLASMS WITH MCC
2009,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
2009,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
2009,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
2009,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH MCC
2009,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH CC
2009,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITHOUT CC/MCC
2009,61,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MCC
