msdrg_year,msdrg,msdrg_name
2008,999,UNGROUPABLE
2008,999,UNGROUPABLE
2008,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
2008,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,9,BONE MARROW TRANSPLANT
2008,10,PANCREAS TRANSPLANT
2008,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2008,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH MCC
2008,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH CC
2008,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC
2008,23,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITH MCC OR CHEMO IMPLANT
2008,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITHOUT MCC
2008,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
2008,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
2008,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
2008,28,SPINAL PROCEDURES WITH MCC
2008,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
2008,30,SPINAL PROCEDURES WITHOUT CC/MCC
2008,31,VENTRICULAR SHUNT PROCEDURES WITH MCC
2008,32,VENTRICULAR SHUNT PROCEDURES WITH CC
2008,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
2008,34,CAROTID ARTERY STENT PROCEDURE WITH MCC
2008,35,CAROTID ARTERY STENT PROCEDURE WITH CC
2008,36,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
2008,37,EXTRACRANIAL PROCEDURES WITH MCC
2008,38,EXTRACRANIAL PROCEDURES WITH CC
2008,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
2008,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH MCC
2008,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH CC OR PERIPH NEUROSTIM
2008,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITHOUT CC/MCC
2008,52,SPINAL DISORDERS & INJURIES WITH CC/MCC
2008,53,SPINAL DISORDERS & INJURIES WITHOUT CC/MCC
2008,54,NERVOUS SYSTEM NEOPLASMS WITH MCC
2008,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
