msdrg_year,msdrg,msdrg_name
2010,999,UNGROUPABLE
2010,999,UNGROUPABLE
2010,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2010,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2010,9,BONE MARROW TRANSPLANT
2010,10,PANCREAS TRANSPLANT
2010,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH MCC
2010,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH CC
2010,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC
2010,23,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITH MCC OR CHEMO IMPLANT
2010,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITHOUT MCC
2010,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
2010,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
2010,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
2010,28,SPINAL PROCEDURES WITH MCC
2010,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
2010,30,SPINAL PROCEDURES WITHOUT CC/MCC
2010,31,VENTRICULAR SHUNT PROCEDURES WITH MCC
2010,32,VENTRICULAR SHUNT PROCEDURES WITH CC
2010,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
2010,34,CAROTID ARTERY STENT PROCEDURE WITH MCC
2010,35,CAROTID ARTERY STENT PROCEDURE WITH CC
2010,36,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
2010,37,EXTRACRANIAL PROCEDURES WITH MCC
2010,38,EXTRACRANIAL PROCEDURES WITH CC
2010,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
2010,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH MCC
2010,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH CC OR PERIPH NEUROSTIM
2010,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITHOUT CC/MCC
2010,52,SPINAL DISORDERS & INJURIES WITH CC/MCC
2010,53,SPINAL DISORDERS & INJURIES WITHOUT CC/MCC
2010,54,NERVOUS SYSTEM NEOPLASMS WITH MCC
2010,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
2010,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
2010,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
2010,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH MCC
2010,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH CC
2010,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITHOUT CC/MCC
2010,61,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MCC
2010,62,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH CC
2010,63,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITHOUT CC/MCC
2010,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
2010,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC
2010,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
2010,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITH MCC
2010,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITHOUT MCC
2010,69,TRANSIENT ISCHEMIA
2010,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
2010,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
2010,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
2010,73,CRANIAL & PERIPHERAL NERVE DISORDERS WITH MCC
2010,74,CRANIAL & PERIPHERAL NERVE DISORDERS WITHOUT MCC
2010,75,VIRAL MENINGITIS WITH CC/MCC
2010,76,VIRAL MENINGITIS WITHOUT CC/MCC
2010,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC
2010,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC
2010,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
2010,80,NONTRAUMATIC STUPOR & COMA WITH MCC
2010,81,NONTRAUMATIC STUPOR & COMA WITHOUT MCC
2010,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH MCC"
2010,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH CC"
2010,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITHOUT CC/MCC"
2010,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH MCC"
2010,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH CC"
2010,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITHOUT CC/MCC"
2010,88,CONCUSSION WITH MCC
2010,89,CONCUSSION WITH CC
2010,90,CONCUSSION WITHOUT CC/MCC
2010,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
2010,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
2010,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
2010,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
2010,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
2010,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
2010,97,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH MCC
2010,98,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH CC
